# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2581906437
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                          
# ........  ..............  ..............................  ................................................................................................................................................................................................
#
     0.17%  progetto        [kernel.kallsyms]               [k] _copy_from_user
     0.16%  progetto        [kernel.kallsyms]               [k] percpu_counter_add_batch
     0.16%  progetto        [kernel.kallsyms]               [k] strlen
     0.16%  progetto        [kernel.kallsyms]               [k] kstat_irqs_usr
     0.16%  progetto        libGLX_mesa.so.0.0.0            [.] 0x00000000000348c0
     0.16%  progetto        libc.so.6                       [.] __isoc99_sscanf
     0.16%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_ttm_tt_get_usermm
     0.15%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e777
     0.15%  progetto        [kernel.kallsyms]               [k] refill_obj_stock
     0.15%  progetto        [kernel.kallsyms]               [k] ctx_sched_out
     0.15%  progetto        liballegro_ttf.so.5.2.9         [.] 0x0000000000002bf0
     0.15%  progetto        libc.so.6                       [.] _IO_str_init_static_internal
     0.15%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f820
     0.15%  progetto        [kernel.kallsyms]               [k] seq_write
     0.15%  progetto        [kernel.kallsyms]               [k] seq_printf
     0.15%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e549
     0.15%  progetto        libX11.so.6.4.0                 [.] 0x00000000000698a6
     0.15%  progetto        [kernel.kallsyms]               [k] dequeue_entity
     0.15%  progetto        [kernel.kallsyms]               [k] ktime_get
     0.14%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_fence
     0.14%  progetto        [kernel.kallsyms]               [k] __handle_mm_fault
     0.14%  progetto        radeonsi_dri.so                 [.] 0x000000000028db70
     0.14%  progetto        libc.so.6                       [.] _IO_file_underflow@@GLIBC_2.2.5
     0.14%  progetto        [kernel.kallsyms]               [k] common_nsleep
     0.14%  progetto        libc.so.6                       [.] _IO_fgets
     0.13%  progetto        liballegro.so.5.2.9             [.] al_get_next_event
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] __queue_work.part.0
     0.13%  progetto        [kernel.kallsyms]               [k] unix_stream_sendmsg
     0.13%  progetto        [kernel.kallsyms]               [k] pick_link
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] try_to_wake_up
     0.13%  progetto        libc.so.6                       [.] malloc
     0.13%  progetto        libglapi.so.0.0.0               [.] 0x000000000000eb80
     0.13%  progetto        radeonsi_dri.so                 [.] 0x00000000000bee1d
     0.13%  progetto        [kernel.kallsyms]               [k] error_entry
     0.13%  progetto        radeonsi_dri.so                 [.] 0x00000000003f6c50
     0.13%  progetto        [kernel.kallsyms]               [k] seq_read_iter
     0.13%  progetto        liballegro.so.5.2.9             [.] al_ustr_get
     0.13%  progetto        [kernel.kallsyms]               [k] lock_vma_under_rcu
     0.13%  progetto:cs0    libc.so.6                       [.] __GI___futex_abstimed_wait_cancelable64
     0.13%  progetto        [kernel.kallsyms]               [k] lookup_fast
     0.13%  progetto        libc.so.6                       [.] pthread_cond_signal@@GLIBC_2.3.2
     0.13%  progetto        [kernel.kallsyms]               [k] __schedule
     0.12%  progetto        [kernel.kallsyms]               [k] __fput
     0.12%  progetto        [kernel.kallsyms]               [k] update_curr
     0.12%  progetto        radeonsi_dri.so                 [.] 0x000000000028ce80
     0.12%  progetto        [kernel.kallsyms]               [k] get_cpu_idle_time_us
     0.12%  progetto        [kernel.kallsyms]               [k] __mod_memcg_state
     0.12%  progetto        [kernel.kallsyms]               [k] ___sys_recvmsg
     0.12%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_submit
     0.12%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vm_bo_find
     0.12%  progetto:cs0    [kernel.kallsyms]               [k] do_syscall_64
     0.12%  progetto        [kernel.kallsyms]               [k] prepend_path
     0.12%  progetto        liballegro.so.5.2.9             [.] _al_get_bitmap_display
     0.12%  progetto        libc.so.6                       [.] __vsnprintf_chk
     0.12%  progetto        liballegro_primitives.so.5.2.9  [.] al_draw_prim
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] __kmalloc
     0.11%  progetto        [kernel.kallsyms]               [k] __check_object_size.part.0
     0.11%  progetto        liballegro.so.5.2.9             [.] al_ustr_vappendf
     0.11%  progetto        liballegro_ttf.so.5.2.9         [.] FT_Get_Char_Index@plt
     0.11%  progetto        [kernel.kallsyms]               [k] psi_task_switch
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] dequeue_entity
     0.11%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005120a
     0.11%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000057940
     0.11%  progetto        liballegro.so.5.2.9             [.] al_use_transform
     0.11%  progetto        [kernel.kallsyms]               [k] __x86_indirect_thunk_rax
     0.11%  progetto        liballegro_ttf.so.5.2.9         [.] FT_Get_Kerning@plt
     0.11%  progetto        liballegro.so.5.2.9             [.] al_scale_transform
     0.11%  progetto        radeonsi_dri.so                 [.] 0x00000000000bc3cf
     0.11%  progetto        libc.so.6                       [.] _IO_setb
     0.11%  progetto        [kernel.kallsyms]               [k] newidle_balance
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] call_function_single_prep_ipi
     0.11%  progetto        [kernel.kallsyms]               [k] __mem_cgroup_charge
     0.11%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e54d
     0.11%  progetto        libGLdispatch.so.0.0.0          [.] __glDispatchCheckMultithreaded
     0.11%  progetto        libc.so.6                       [.] __nanosleep
     0.11%  progetto        ld-linux-x86-64.so.2            [.] _dl_relocate_object
     0.11%  progetto        [kernel.kallsyms]               [k] default_send_IPI_single_phys
     0.11%  progetto        libc.so.6                       [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] select_task_rq_fair
     0.11%  progetto        [kernel.kallsyms]               [k] mem_cgroup_commit_charge
     0.11%  progetto        [kernel.kallsyms]               [k] sched_clock_noinstr
     0.11%  progetto:cs0    libc.so.6                       [.] pthread_cond_wait@@GLIBC_2.3.2
     0.11%  progetto        [kernel.kallsyms]               [k] copy_msghdr_from_user
     0.11%  progetto        [kernel.kallsyms]               [k] aa_file_perm
     0.11%  progetto        liballegro_primitives.so.5.2.9  [.] al_draw_filled_ellipse
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_drm_ioctl
     0.10%  progetto        [kernel.kallsyms]               [k] __switch_to_asm
     0.10%  progetto        [kernel.kallsyms]               [k] from_kgid_munged
     0.10%  progetto        [kernel.kallsyms]               [k] do_sys_poll
     0.10%  progetto        [kernel.kallsyms]               [k] aa_dfa_match
     0.10%  progetto        [kernel.kallsyms]               [k] __x64_sys_clock_nanosleep
     0.10%  progetto        libc.so.6                       [.] __strchr_avx2
     0.10%  progetto        libc.so.6                       [.] usleep
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] gmc_v9_0_get_vm_pde
     0.10%  progetto        [kernel.kallsyms]               [k] pick_next_task
     0.10%  progetto        [kernel.kallsyms]               [k] do_dentry_open
     0.10%  progetto        [kernel.kallsyms]               [k] __task_pid_nr_ns
     0.10%  progetto        [kernel.kallsyms]               [k] do_nanosleep
     0.10%  progetto        liballegro.so.5.2.9             [.] al_get_current_transform
     0.10%  progetto        [kernel.kallsyms]               [k] check_heap_object
     0.10%  progetto        [kernel.kallsyms]               [k] fd_install
     0.10%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000051229
     0.10%  progetto        [kernel.kallsyms]               [k] task_state
     0.10%  progetto        [kernel.kallsyms]               [k] __import_iovec
     0.10%  progetto        [kernel.kallsyms]               [k] aa_get_buffer
     0.10%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f9e0
     0.10%  progetto        [kernel.kallsyms]               [k] step_into
     0.10%  progetto        [kernel.kallsyms]               [k] ep_poll_callback
     0.10%  progetto        radeonsi_dri.so                 [.] 0x0000000000362ac0
     0.10%  progetto        [kernel.kallsyms]               [k] put_pid
     0.10%  progetto        liballegro.so.5.2.9             [.] __tls_get_addr@plt
     0.10%  progetto        [kernel.kallsyms]               [k] get_cpu_sleep_time_us.part.0
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_pass2
     0.09%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005add0
     0.09%  progetto        radeonsi_dri.so                 [.] 0x000000000012d400
     0.09%  progetto        [kernel.kallsyms]               [k] __pte_offset_map
     0.09%  progetto        [kernel.kallsyms]               [k] put_prev_entity
     0.09%  progetto        liballegro.so.5.2.9             [.] 0x00000000000c0190
     0.09%  progetto        [kernel.kallsyms]               [k] vfs_getattr_nosec
     0.09%  progetto        [kernel.kallsyms]               [k] get_idle_time
     0.09%  progetto        [kernel.kallsyms]               [k] mas_next_slot
     0.09%  progetto        [kernel.kallsyms]               [k] __sys_recvmsg
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] dma_fence_chain_walk
     0.09%  progetto        [kernel.kallsyms]               [k] security_file_open
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_pass1
     0.09%  progetto        liballegro.so.5.2.9             [.] al_is_bitmap_drawing_held
     0.09%  progetto        [kernel.kallsyms]               [k] handle_pte_fault
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_parser_bos.isra.0
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] dequeue_task_fair
     0.09%  progetto        [kernel.kallsyms]               [k] do_open
     0.09%  progetto        radeonsi_dri.so                 [.] 0x00000000000bee16
     0.09%  progetto:cs0    libdrm.so.2.4.0                 [.] drmIoctl
     0.08%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005122c
     0.08%  progetto        [kernel.kallsyms]               [k] update_sg_lb_stats
     0.08%  progetto        [kernel.kallsyms]               [k] perf_ctx_disable
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] objects_lookup
     0.08%  progetto        libfreetype.so.6.18.1           [.] 0x000000000001b420
