# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2534099589
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ..............  ..............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.17%  progetto        liballegro.so.5.2.9             [.] _al_pixel_format_is_compressed
     0.17%  progetto        [kernel.kallsyms]               [k] apparmor_current_getlsmblob_subj
     0.17%  progetto        libc.so.6                       [.] _IO_str_init_static_internal
     0.17%  progetto        libOpenGL.so.0.0.0              [.] glGetError
     0.17%  progetto        liballegro.so.5.2.9             [.] al_rotate_transform
     0.16%  progetto        [kernel.kallsyms]               [k] update_curr
     0.16%  progetto        libc.so.6                       [.] __isoc99_fscanf
     0.16%  progetto        [kernel.kallsyms]               [k] step_into
     0.16%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e777
     0.16%  progetto        [kernel.kallsyms]               [k] asm_exc_page_fault
     0.16%  progetto        progetto                        [.] main
     0.16%  progetto:cs0    [kernel.kallsyms]               [k] __check_object_size.part.0
     0.16%  progetto        libX11.so.6.4.0                 [.] 0x0000000000069893
     0.15%  progetto        [kernel.kallsyms]               [k] __rcu_read_unlock
     0.15%  progetto        [kernel.kallsyms]               [k] _copy_from_user
     0.15%  progetto        libX11.so.6.4.0                 [.] 0x0000000000027210
     0.15%  progetto        [kernel.kallsyms]               [k] __get_user_8
     0.15%  progetto        [kernel.kallsyms]               [k] __rcu_read_lock
     0.15%  progetto        [kernel.kallsyms]               [k] pick_next_task
     0.15%  progetto        libc.so.6                       [.] clock_nanosleep@GLIBC_2.2.5
     0.15%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_submit
     0.15%  progetto        liballegro.so.5.2.9             [.] al_ustr_get
     0.15%  progetto        [kernel.kallsyms]               [k] obj_cgroup_charge
