# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:P'
# Event count (approx.): 2617849324
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                 
# ........  ..............  ..............................  .......................................................................................................................................................................................................................................................................
#
     0.15%  progetto        [kernel.kallsyms]               [k] __rcu_read_lock
     0.15%  progetto:cs0    [kernel.kallsyms]               [k] drm_exec_lock_obj
     0.15%  progetto        libGLX_mesa.so.0.0.0            [.] 0x00000000000348c0
     0.15%  progetto        [kernel.kallsyms]               [k] set_pte_range
     0.15%  progetto        [kernel.kallsyms]               [k] get_cpu_sleep_time_us.part.0
     0.15%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_submit
     0.15%  progetto        radeonsi_dri.so                 [.] 0x000000000028db70
     0.15%  progetto        liballegro.so.5.2.9             [.] _al_vector_ref
     0.15%  progetto:cs0    radeonsi_dri.so                 [.] 0x000000000092e767
     0.14%  progetto        [kernel.kallsyms]               [k] find_next_iomem_res
     0.14%  progetto        [kernel.kallsyms]               [k] __schedule
     0.14%  progetto        [kernel.kallsyms]               [k] psi_task_switch
     0.14%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_job_fence_release
     0.14%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_ioctl
     0.14%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_gtt_mgr_compatible
     0.14%  progetto        [kernel.kallsyms]               [k] put_dec_trunc8
     0.14%  progetto        [kernel.kallsyms]               [k] _raw_spin_lock
     0.14%  progetto        [kernel.kallsyms]               [k] __task_pid_nr_ns
     0.14%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_ttm_tt_pte_flags
     0.14%  progetto        libglapi.so.0.0.0               [.] 0x000000000000eb80
     0.14%  progetto:cs0    [kernel.kallsyms]               [k] __kmalloc
     0.14%  progetto        libc.so.6                       [.] _IO_fgets
     0.14%  progetto        [kernel.kallsyms]               [k] _find_next_bit
     0.13%  progetto        [kernel.kallsyms]               [k] _copy_from_user
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] __kmalloc_node
     0.13%  progetto        libc.so.6                       [.] __strchrnul_avx2
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] dma_fence_wait_timeout
     0.13%  progetto        [kernel.kallsyms]               [k] ktime_get
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] try_to_wake_up
     0.13%  progetto        progetto                        [.] main
     0.13%  progetto        radeonsi_dri.so                 [.] 0x00000000000bee16
     0.13%  progetto        [kernel.kallsyms]               [k] kfree
     0.13%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_keep_later
     0.13%  progetto        libfreetype.so.6.18.1           [.] FT_Get_Char_Index
     0.13%  progetto        libc.so.6                       [.] _IO_setb
     0.13%  progetto        radeonsi_dri.so                 [.] 0x0000000000302d18
     0.12%  progetto        libOpenGL.so.0.0.0              [.] glBlendColor
     0.12%  progetto        radeonsi_dri.so                 [.] 0x0000000000362ac0
     0.12%  progetto        [kernel.kallsyms]               [k] prepend_path
     0.12%  progetto        [kernel.kallsyms]               [k] proc_pid_status
     0.12%  progetto        libc.so.6                       [.] difftime
     0.12%  progetto        radeonsi_dri.so                 [.] 0x00000000003bd47c
     0.12%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_fence
     0.12%  progetto        [kernel.kallsyms]               [k] lookup_fast
     0.12%  progetto        radeonsi_dri.so                 [.] 0x00000000000bf072
     0.12%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e557
     0.12%  progetto        libX11.so.6.4.0                 [.] 0x0000000000069893
     0.12%  progetto        libGLdispatch.so.0.0.0          [.] __glDispatchCheckMultithreaded
     0.12%  progetto:cs0    libc.so.6                       [.] __GI___futex_abstimed_wait_cancelable64
     0.12%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e77f
     0.12%  progetto        progetto                        [.] get_context_switches()
     0.12%  progetto        liballegro.so.5.2.9             [.] al_is_compatible_bitmap
     0.12%  progetto        libX11.so.6.4.0                 [.] 0x000000000006989f
     0.12%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000033380
     0.12%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005add0
     0.12%  progetto        libOpenGL.so.0.0.0              [.] glClear
     0.12%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e784
     0.12%  progetto        [kernel.kallsyms]               [k] kmem_cache_free
     0.12%  progetto        libc.so.6                       [.] __errno_location
     0.11%  progetto        libc.so.6                       [.] __memcmp_avx2_movbe
     0.11%  progetto        [kernel.kallsyms]               [k] security_file_open
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_drm_ioctl
     0.11%  progetto        liballegro.so.5.2.9             [.] _al_get_bitmap_display
     0.11%  progetto        [kernel.kallsyms]               [k] consume_obj_stock
     0.11%  progetto        [kernel.kallsyms]               [k] restore_fpregs_from_fpstate
     0.11%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000043dd0
     0.11%  progetto        [kernel.kallsyms]               [k] proc_misc_d_revalidate
     0.11%  progetto        [kernel.kallsyms]               [k] ep_poll_callback
     0.11%  progetto        liballegro.so.5.2.9             [.] al_get_current_display
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] check_heap_object
     0.11%  progetto        radeonsi_dri.so                 [.] 0x0000000000233530
     0.11%  progetto        [kernel.kallsyms]               [k] aa_get_buffer
     0.11%  progetto        [kernel.kallsyms]               [k] seq_putc
     0.11%  progetto        [kernel.kallsyms]               [k] mutex_lock
     0.11%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_bo_ref
     0.11%  progetto        liballegro.so.5.2.9             [.] al_ustr_get
     0.10%  progetto        [kernel.kallsyms]               [k] dequeue_task
     0.10%  progetto        radeonsi_dri.so                 [.] 0x000000000028ce80
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] drm_sched_job_init
     0.10%  progetto        [kernel.kallsyms]               [k] get_cpu_iowait_time_us
     0.10%  progetto        [kernel.kallsyms]               [k] native_irq_return_iret
     0.10%  progetto        libc.so.6                       [.] __libc_calloc
     0.10%  progetto        [kernel.kallsyms]               [k] __perf_event_task_sched_in
     0.10%  progetto        [kernel.kallsyms]               [k] raw_spin_rq_lock_nested
     0.10%  progetto        libOpenGL.so.0.0.0              [.] glClearColor
     0.10%  progetto        [kernel.kallsyms]               [k] __x64_sys_clock_nanosleep
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vm_bo_update
     0.10%  progetto        radeonsi_dri.so                 [.] 0x00000000001922a0
     0.10%  progetto        [kernel.kallsyms]               [k] nsec_to_clock_t
     0.10%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000051216
     0.10%  progetto:cs0    radeonsi_dri.so                 [.] 0x000000000092e76c
     0.10%  progetto        [kernel.kallsyms]               [k] render_sigset_t
     0.10%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005af56
     0.10%  progetto        [kernel.kallsyms]               [k] __get_user_nocheck_4
     0.10%  progetto        libxcb.so.1.1.0                 [.] xcb_send_request
     0.10%  progetto        [kernel.kallsyms]               [k] d_namespace_path.constprop.0
     0.10%  progetto        [kernel.kallsyms]               [k] string_escape_mem
     0.10%  progetto        [kernel.kallsyms]               [k] d_absolute_path
     0.10%  progetto        [kernel.kallsyms]               [k] apparmor_current_getlsmblob_subj
     0.10%  progetto        [kernel.kallsyms]               [k] hrtimer_interrupt
     0.10%  progetto        [kernel.kallsyms]               [k] task_mem
     0.10%  progetto        [kernel.kallsyms]               [k] prepare_task_switch
     0.10%  progetto        [kernel.kallsyms]               [k] seq_put_hex_ll
     0.10%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000053410
     0.10%  progetto        [kernel.kallsyms]               [k] newidle_balance
     0.10%  progetto        liballegro_font.so.5.2.9        [.] al_draw_textf
     0.10%  progetto        [kernel.kallsyms]               [k] import_iovec
     0.10%  progetto        [kernel.kallsyms]               [k] vfs_read
     0.09%  progetto        libGLdispatch.so.0.0.0          [.] 0x0000000000044000
     0.09%  progetto        liballegro.so.5.2.9             [.] al_ustr_new
     0.09%  progetto        radeonsi_dri.so                 [.] 0x0000000000667c10
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] dma_resv_iter_next
     0.09%  progetto        [kernel.kallsyms]               [k] do_user_addr_fault
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] drm_sched_rq_update_fifo
     0.09%  progetto        libc.so.6                       [.] _IO_old_init
     0.09%  progetto        [kernel.kallsyms]               [k] obj_cgroup_charge
     0.09%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005122c
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] drm_ioctl_kernel
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] sort_r
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_bo_validate
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_pass2
     0.09%  progetto        libc.so.6                       [.] _IO_str_init_static_internal
     0.09%  progetto        libc.so.6                       [.] __uflow
     0.09%  progetto        [kernel.kallsyms]               [k] aa_path_perm
     0.09%  progetto        [kernel.kallsyms]               [k] pick_next_task_rt
     0.09%  progetto        libxshmfence.so.1.0.0           [.] xshmfence_await
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] __cgroup_account_cputime
     0.09%  progetto        [kernel.kallsyms]               [k] _copy_to_iter
     0.09%  progetto        libc.so.6                       [.] __isoc99_sscanf
     0.09%  progetto        liballegro.so.5.2.9             [.] al_get_display_flags
     0.09%  progetto        [kernel.kallsyms]               [k] __sys_recvmsg
     0.09%  progetto        [kernel.kallsyms]               [k] __fdget_pos
     0.09%  progetto        [kernel.kallsyms]               [k] process_measurement
     0.09%  progetto        [kernel.kallsyms]               [k] refill_obj_stock
     0.09%  progetto        libLLVM-15.so.1                 [.] llvm::SelectionDAG::Combine(llvm::CombineLevel, llvm::AAResults*, llvm::CodeGenOpt::Level)
     0.09%  progetto        [kernel.kallsyms]               [k] group_sched_out
     0.09%  progetto        radeonsi_dri.so                 [.] 0x0000000000238f10
     0.09%  progetto        libc.so.6                       [.] __GI___libc_open
     0.09%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e777
     0.09%  progetto        [kernel.kallsyms]               [k] check_heap_object
     0.09%  progetto        libc.so.6                       [.] __getpid
     0.09%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000057940
     0.09%  progetto        [kernel.kallsyms]               [k] mntput_no_expire
     0.09%  progetto        [kernel.kallsyms]               [k] psi_flags_change
     0.09%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f7e0
     0.09%  progetto        libc.so.6                       [.] __isoc99_fscanf
     0.09%  progetto        [kernel.kallsyms]               [k] update_sg_lb_stats
     0.08%  progetto        [kernel.kallsyms]               [k] copy_iovec_from_user
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] newidle_balance
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] drm_sched_fence_alloc
     0.08%  progetto        libc.so.6                       [.] usleep
     0.08%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000051178
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] __x64_sys_ioctl
     0.08%  progetto        [kernel.kallsyms]               [k] __raw_spin_lock_irqsave
     0.08%  progetto        [kernel.kallsyms]               [k] delay_halt.part.0
     0.08%  progetto        [kernel.kallsyms]               [k] pid_revalidate
     0.08%  progetto        [kernel.kallsyms]               [k] check_stack_object
     0.08%  progetto        libc.so.6                       [.] __strstr_sse2
     0.08%  progetto        [kernel.kallsyms]               [k] __calc_delta.constprop.0
     0.08%  progetto        [kernel.kallsyms]               [k] plist_del
     0.08%  progetto        [kernel.kallsyms]               [k] try_to_wake_up
     0.08%  progetto        [kernel.kallsyms]               [k] kmem_cache_alloc_node
     0.08%  progetto        [kernel.kallsyms]               [k] obj_cgroup_uncharge_pages
     0.08%  progetto        [kernel.kallsyms]               [k] get_cpu_idle_time_us
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] kfree
     0.08%  progetto        [kernel.kallsyms]               [k] delay_halt_mwaitx
     0.08%  progetto        [kernel.kallsyms]               [k] rmqueue_bulk
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e54d
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e4f2
